region,categorie,typeCategorie,annee,pourcentage
Occitanie,habitus assidus,habitudes,2017,10,68564952
Occitanie,habitus assidus,habitudes,2018,15,84155662
Occitanie,habitus assidus,habitudes,2019,13,94868731
Occitanie,habitus assidus,habitudes,2020,15,82120738
Pays de la Loire,habitus assidus,habitudes,2016,13,05491237
Pays de la Loire,habitus assidus,habitudes,2017,8,649041903
Pays de la Loire,habitus assidus,habitudes,2018,11,96340628
Pays de la Loire,habitus assidus,habitudes,2019,10,41945612
Pays de la Loire,habitus assidus,habitudes,2020,11,08429672
Provence-Alpes-Cte-d'Azur,habitus assidus,habitudes,2016,16,19125147
Provence-Alpes-Cte-d'Azur,habitus assidus,habitudes,2017,10,6026
Provence-Alpes-Cte-d'Azur,habitus assidus,habitudes,2018,16,287463
Provence-Alpes-Cte-d'Azur,habitus assidus,habitudes,2019,14,1854442
Provence-Alpes-Cte-d'Azur,habitus assidus,habitudes,2020,15,18675293
Auvergne - Rhne-Alpes,habitus rguliers,habitudes,2016,44,43307828
Auvergne - Rhne-Alpes,habitus rguliers,habitudes,2017,40,63916193
Auvergne - Rhne-Alpes,habitus rguliers,habitudes,2018,48,59404592
Auvergne - Rhne-Alpes,habitus rguliers,habitudes,2019,43,42573921
Auvergne - Rhne-Alpes,habitus rguliers,habitudes,2020,42,45888423
Bourgogne - Franche-Comt,habitus rguliers,habitudes,2016,44,79118323
Bourgogne - Franche-Comt,habitus rguliers,habitudes,2017,38,96095253
Bourgogne - Franche-Comt,habitus rguliers,habitudes,2018,46,60570529
Bourgogne - Franche-Comt,habitus rguliers,habitudes,2019,41,20655209
Bourgogne - Franche-Comt,habitus rguliers,habitudes,2020,39,79107559
Bretagne,habitus rguliers,habitudes,2016,47,60873766
Bretagne,habitus rguliers,habitudes,2017,44,82497475
Bretagne,habitus rguliers,habitudes,2018,50,97593097
Bretagne,habitus rguliers,habitudes,2019,45,16207041
Bretagne,habitus rguliers,habitudes,2020,46,30425485
Centre - Val-de-Loire,habitus rguliers,habitudes,2016,39,4652929
Centre - Val-de-Loire,habitus rguliers,habitudes,2017,39,99362756
Centre - Val-de-Loire,habitus rguliers,habitudes,2018,46,44776288
Centre - Val-de-Loire,habitus rguliers,habitudes,2019,42,48338043
Centre - Val-de-Loire,habitus rguliers,habitudes,2020,45,61399704
Corse,habitus rguliers,habitudes,2016,
Corse,habitus rguliers,habitudes,2017,
Corse,habitus rguliers,habitudes,2018,
Corse,habitus rguliers,habitudes,2019,
Corse,habitus rguliers,habitudes,2020,
Grand-Est,habitus rguliers,habitudes,2016,49,49496389
Grand-Est,habitus rguliers,habitudes,2017,44,26376377
Grand-Est,habitus rguliers,habitudes,2018,48,62990374
Grand-Est,habitus rguliers,habitudes,2019,44,23235985
Grand-Est,habitus rguliers,habitudes,2020,45,09554224
Hauts-de-France,habitus rguliers,habitudes,2016,46,86857307
Hauts-de-France,habitus rguliers,habitudes,2017,44,49099506
Hauts-de-France,habitus rguliers,habitudes,2018,49,30773384
Hauts-de-France,habitus rguliers,habitudes,2019,45,56224787
Hauts-de-France,habitus rguliers,habitudes,2020,44,98784186
Ile-de-France,habitus rguliers,habitudes,2016,44,14774998
Ile-de-France,habitus rguliers,habitudes,2017,46,3222745
Ile-de-France,habitus rguliers,habitudes,2018,49,35854332
Ile-de-France,habitus rguliers,habitudes,2019,45,95259319
Ile-de-France,habitus rguliers,habitudes,2020,47,89880716
Normandie,habitus rguliers,habitudes,2016,43,3730845
Normandie,habitus rguliers,habitudes,2017,37,58787001
Normandie,habitus rguliers,habitudes,2018,42,77881292
Normandie,habitus rguliers,habitudes,2019,39,94669262
Normandie,habitus rguliers,habitudes,2020,42,85583441
Nouvelle Aquitaine,habitus rguliers,habitudes,2016,46,38873608
Nouvelle Aquitaine,habitus rguliers,habitudes,2017,43,87608772
Nouvelle Aquitaine,habitus rguliers,habitudes,2018,50,17047126
Nouvelle Aquitaine,habitus rguliers,habitudes,2019,46,37865395
Nouvelle Aquitaine,habitus rguliers,habitudes,2020,51,83753008
Occitanie,habitus rguliers,habitudes,2016,50,71199505
Occitanie,habitus rguliers,habitudes,2017,47,52869908
Occitanie,habitus rguliers,habitudes,2018,50,40913719
Occitanie,habitus rguliers,habitudes,2019,45,37843317
Occitanie,habitus rguliers,habitudes,2020,51,91766048
Pays de la Loire,habitus rguliers,habitudes,2016,41,73407405
Pays de la Loire,habitus rguliers,habitudes,2017,40,59692261
Pays de la Loire,habitus rguliers,habitudes,2018,48,38991545
Pays de la Loire,habitus rguliers,habitudes,2019,43,4827454
Pays de la Loire,habitus rguliers,habitudes,2020,45,94490482
Provence-Alpes-Cte-d'Azur,habitus rguliers,habitudes,2016,48,66180072
Provence-Alpes-Cte-d'Azur,habitus rguliers,habitudes,2017,48,0239869
Provence-Alpes-Cte-d'Azur,habitus rguliers,habitudes,2018,51,26538125
Provence-Alpes-Cte-d'Azur,habitus rguliers,habitudes,2019,48,02027895
Provence-Alpes-Cte-d'Azur,habitus rguliers,habitudes,2020,50,4564411
Auvergne - Rhne-Alpes,occasionnels,habitudes,2016,41,27867933
Auvergne - Rhne-Alpes,occasionnels,habitudes,2017,48,78127178
Auvergne - Rhne-Alpes,occasionnels,habitudes,2018,35,34775421
Auvergne - Rhne-Alpes,occasionnels,habitudes,2019,43,44403892
Auvergne - Rhne-Alpes,occasionnels,habitudes,2020,39,1002502
Bourgogne - Franche-Comt,occasionnels,habitudes,2016,39,08633081
Bourgogne - Franche-Comt,occasionnels,habitudes,2017,48,20952923
Bourgogne - Franche-Comt,occasionnels,habitudes,2018,38,10591045
Bourgogne - Franche-Comt,occasionnels,habitudes,2019,45,90882551
Bourgogne - Franche-Comt,occasionnels,habitudes,2020,43,93784196
Bretagne,occasionnels,habitudes,2016,38,11246143
Bretagne,occasionnels,habitudes,2017,45,18952676
Bretagne,occasionnels,habitudes,2018,36,51277456
Bretagne,occasionnels,habitudes,2019,45,04060376
Bretagne,occasionnels,habitudes,2020,40,60214153
Centre - Val-de-Loire,occasionnels,habitudes,2016,41,41633471
Centre - Val-de-Loire,occasionnels,habitudes,2017,47,63536956
Centre - Val-de-Loire,occasionnels,habitudes,2018,38,7027687
Centre - Val-de-Loire,occasionnels,habitudes,2019,44,6872973
Centre - Val-de-Loire,occasionnels,habitudes,2020,38,10653191
Corse,occasionnels,habitudes,2016,
Corse,occasionnels,habitudes,2017,
Corse,occasionnels,habitudes,2018,
Corse,occasionnels,habitudes,2019,
Corse,occasionnels,habitudes,2020,
Grand-Est,occasionnels,habitudes,2016,35,11074432
Grand-Est,occasionnels,habitudes,2017,45,81982284
Grand-Est,occasionnels,habitudes,2018,38,07326498
Grand-Est,occasionnels,habitudes,2019,44,94399817
Grand-Est,occasionnels,habitudes,2020,42,71385147
Hauts-de-France,occasionnels,habitudes,2016,37,61271128
Hauts-de-France,occasionnels,habitudes,2017,46,08267851
Hauts-de-France,occasionnels,habitudes,2018,37,14857482
Hauts-de-France,occasionnels,habitudes,2019,42,30301149
Hauts-de-France,occasionnels,habitudes,2020,42,62624291
Ile-de-France,occasionnels,habitudes,2016,30,42424536
Ile-de-France,occasionnels,habitudes,2017,35,4783431
Ile-de-France,occasionnels,habitudes,2018,24,35244438
Ile-de-France,occasionnels,habitudes,2019,31,65182819
Ile-de-France,occasionnels,habitudes,2020,28,33930524
Normandie,occasionnels,habitudes,2016,43,79902146
Normandie,occasionnels,habitudes,2017,53,86136738
Normandie,occasionnels,habitudes,2018,44,55559272
Normandie,occasionnels,habitudes,2019,48,05027751
Normandie,occasionnels,habitudes,2020,45,1308219
Nouvelle Aquitaine,occasionnels,habitudes,2016,39,21893349
Nouvelle Aquitaine,occasionnels,habitudes,2017,47,01957742
Nouvelle Aquitaine,occasionnels,habitudes,2018,38,08360867
Nouvelle Aquitaine,occasionnels,habitudes,2019,42,95700292
Nouvelle Aquitaine,occasionnels,habitudes,2020,36,34269769
Occitanie,occasionnels,habitudes,2016,35,56162327
Occitanie,occasionnels,habitudes,2017,41,7856514
Occitanie,occasionnels,habitudes,2018,33,74930619
Occitanie,occasionnels,habitudes,2019,40,67287952
Occitanie,occasionnels,habitudes,2020,32,26113214
Pays de la Loire,occasionnels,habitudes,2016,45,21101358
Pays de la Loire,occasionnels,habitudes,2017,50,75403548
Pays de la Loire,occasionnels,habitudes,2018,39,64667827
Pays de la Loire,occasionnels,habitudes,2019,46,09779848
Pays de la Loire,occasionnels,habitudes,2020,42,97079845
Provence-Alpes-Cte-d'Azur,occasionnels,habitudes,2016,35,14694781
Provence-Alpes-Cte-d'Azur,occasionnels,habitudes,2017,41,3734131
Provence-Alpes-Cte-d'Azur,occasionnels,habitudes,2018,32,44715575
Provence-Alpes-Cte-d'Azur,occasionnels,habitudes,2019,37,79427685
Provence-Alpes-Cte-d'Azur,occasionnels,habitudes,2020,34,35680597
Alsace,hommes,sexe,2005,47,6
Alsace,hommes,sexe,2006,47,8
Alsace,hommes,sexe,2007,50,2
Alsace,hommes,sexe,2008,50,91623037
Alsace,hommes,sexe,2009,48,33997344
Alsace,hommes,sexe,2010,52,74151436
Alsace,hommes,sexe,2011,50,35629454
Alsace,hommes,sexe,2012,48,43945069
Alsace,hommes,sexe,2013,46,66844683
Alsace,hommes,sexe,2014,49,20525971
Alsace,hommes,sexe,2015,58,41364363
Aquitaine,hommes,sexe,2005,42,7
Aquitaine,hommes,sexe,2006,47,8
Aquitaine,hommes,sexe,2007,46,3
Aquitaine,hommes,sexe,2008,44,59352802
Aquitaine,hommes,sexe,2009,44,33416046
Aquitaine,hommes,sexe,2010,48,89473684
Aquitaine,hommes,sexe,2011,45,87289993
Aquitaine,hommes,sexe,2012,48,12085483
Aquitaine,hommes,sexe,2013,48,83948238
Aquitaine,hommes,sexe,2014,44,21002263
Aquitaine,hommes,sexe,2015,48,0171551
Auvergne,hommes,sexe,2005,45,8
Auvergne,hommes,sexe,2006,50,2
Auvergne,hommes,sexe,2007,48,6
Auvergne,hommes,sexe,2008,49,88913525
Auvergne,hommes,sexe,2009,49,46236559
Auvergne,hommes,sexe,2010,52,85285285
Auvergne,hommes,sexe,2011,48,01864802
Auvergne,hommes,sexe,2012,47,89915966
Auvergne,hommes,sexe,2013,47,34658674
Auvergne,hommes,sexe,2014,48,21765685
Auvergne,hommes,sexe,2015,42,39566626
Basse-Normandie,hommes,sexe,2005,48
Basse-Normandie,hommes,sexe,2006,49,7
Basse-Normandie,hommes,sexe,2007,47,6
Basse-Normandie,hommes,sexe,2008,38,10526316
Basse-Normandie,hommes,sexe,2009,40,4494382
Basse-Normandie,hommes,sexe,2010,42,61168385
Basse-Normandie,hommes,sexe,2011,43,38235294
Basse-Normandie,hommes,sexe,2012,46,89922481
Basse-Normandie,hommes,sexe,2013,48,61336572
Basse-Normandie,hommes,sexe,2014,43,41097305
Basse-Normandie,hommes,sexe,2015,44,12334197
Bourgogne,hommes,sexe,2005,49,5
Bourgogne,hommes,sexe,2006,47,8
Bourgogne,hommes,sexe,2007,48,3
Bourgogne,hommes,sexe,2008,39,8245614
Bourgogne,hommes,sexe,2009,43,27272727
Bourgogne,hommes,sexe,2010,48,08184143
Bourgogne,hommes,sexe,2011,45,74468085
Bourgogne,hommes,sexe,2012,47,29520866
Bourgogne,hommes,sexe,2013,46,12792623
Bourgogne,hommes,sexe,2014,44,97708217
Bourgogne,hommes,sexe,2015,44,0830263
Bretagne,hommes,sexe,2005,47,4
Bretagne,hommes,sexe,2006,47
Bretagne,hommes,sexe,2007,46,3
Bretagne,hommes,sexe,2008,43,74482187
Bretagne,hommes,sexe,2009,43,56357928
Bretagne,hommes,sexe,2010,46,60246121
Bretagne,hommes,sexe,2011,41,19937695
Bretagne,hommes,sexe,2012,41,93548387
Bretagne,hommes,sexe,2013,43,86903085
Bretagne,hommes,sexe,2014,48,52128495
Bretagne,hommes,sexe,2015,45,12070662
Centre,hommes,sexe,2005,47,3
Centre,hommes,sexe,2006,44,6
Centre,hommes,sexe,2007,42,5
Centre,hommes,sexe,2008,44,79917611
Centre,hommes,sexe,2009,45,1446281
Centre,hommes,sexe,2010,46,97933227
Centre,hommes,sexe,2011,44,84210526
Centre,hommes,sexe,2012,42,68177526
Centre,hommes,sexe,2013,42,82866448
Centre,hommes,sexe,2014,42,88735244
Centre,hommes,sexe,2015,40,62325431
Champagne-Ardenne,hommes,sexe,2005,45,8
Champagne-Ardenne,hommes,sexe,2006,46,6
Champagne-Ardenne,hommes,sexe,2007,45,4
Champagne-Ardenne,hommes,sexe,2008,45,4308094
Champagne-Ardenne,hommes,sexe,2009,38,61892583
Champagne-Ardenne,hommes,sexe,2010,44,90196078
Champagne-Ardenne,hommes,sexe,2011,41,11405836
Champagne-Ardenne,hommes,sexe,2012,46,13636364
Champagne-Ardenne,hommes,sexe,2013,41,91894926
Champagne-Ardenne,hommes,sexe,2014,43,79443668
Champagne-Ardenne,hommes,sexe,2015,43,32256381
Corse,hommes,sexe,2005,
Corse,hommes,sexe,2006,
Corse,hommes,sexe,2007,
Corse,hommes,sexe,2008,
Corse,hommes,sexe,2009,
Corse,hommes,sexe,2010,
Corse,hommes,sexe,2011,
Corse,hommes,sexe,2012,
Corse,hommes,sexe,2013,
Corse,hommes,sexe,2014,
Corse,hommes,sexe,2015,
Franche-Comt,hommes,sexe,2005,50,3
Franche-Comt,hommes,sexe,2006,50,9
Franche-Comt,hommes,sexe,2007,50,2
Franche-Comt,hommes,sexe,2008,46,99453552
Franche-Comt,hommes,sexe,2009,51,29533679
Franche-Comt,hommes,sexe,2010,52,51937984
Franche-Comt,hommes,sexe,2011,50,58139535
Franche-Comt,hommes,sexe,2012,50,99150142
Franche-Comt,hommes,sexe,2013,51,39743702
Franche-Comt,hommes,sexe,2014,56,1909915
Franche-Comt,hommes,sexe,2015,55,39890834
Haute-Normandie,hommes,sexe,2005,43,9
Haute-Normandie,hommes,sexe,2006,48,6
Haute-Normandie,hommes,sexe,2007,45,8
Haute-Normandie,hommes,sexe,2008,44,76843911
Haute-Normandie,hommes,sexe,2009,45,33333333
Haute-Normandie,hommes,sexe,2010,49,11392405
Haute-Normandie,hommes,sexe,2011,42,17687075
Haute-Normandie,hommes,sexe,2012,47,17285945
Haute-Normandie,hommes,sexe,2013,43,84904118
Haute-Normandie,hommes,sexe,2014,44,37781944
Haute-Normandie,hommes,sexe,2015,42,22398221
Ile-de-France,hommes,sexe,2005,45,8
Ile-de-France,hommes,sexe,2006,44
Ile-de-France,hommes,sexe,2007,45,3
Ile-de-France,hommes,sexe,2008,42,98428328
Ile-de-France,hommes,sexe,2009,48,27979472
Ile-de-France,hommes,sexe,2010,51,17260206
Ile-de-France,hommes,sexe,2011,46,83609074
Ile-de-France,hommes,sexe,2012,44,74501109
Ile-de-France,hommes,sexe,2013,47,86777003
Ile-de-France,hommes,sexe,2014,47,20669763
Ile-de-France,hommes,sexe,2015,46,30230597
Languedoc-Roussillon,hommes,sexe,2005,52,4
Languedoc-Roussillon,hommes,sexe,2006,48,7
Languedoc-Roussillon,hommes,sexe,2007,47,3
Languedoc-Roussillon,hommes,sexe,2008,43,85521886
Languedoc-Roussillon,hommes,sexe,2009,46,51837524
Languedoc-Roussillon,hommes,sexe,2010,46,03283174
Languedoc-Roussillon,hommes,sexe,2011,43,88625592
Languedoc-Roussillon,hommes,sexe,2012,42,65799257
Languedoc-Roussillon,hommes,sexe,2013,41,58929787
Languedoc-Roussillon,hommes,sexe,2014,41,98943614
Languedoc-Roussillon,hommes,sexe,2015,41,58128919
Limousin,hommes,sexe,2005,
Limousin,hommes,sexe,2006,
Limousin,hommes,sexe,2007,
Limousin,hommes,sexe,2008,
Limousin,hommes,sexe,2009,
Limousin,hommes,sexe,2010,44
Limousin,hommes,sexe,2011,
Limousin,hommes,sexe,2012,
Limousin,hommes,sexe,2013,
Limousin,hommes,sexe,2014,
Limousin,hommes,sexe,2015,
Lorraine,hommes,sexe,2005,49,2
Lorraine,hommes,sexe,2006,50,6
Lorraine,hommes,sexe,2007,47,3
Lorraine,hommes,sexe,2008,42,65033408
Lorraine,hommes,sexe,2009,50,33407572
Lorraine,hommes,sexe,2010,51,61538462
Lorraine,hommes,sexe,2011,44,23963134
Lorraine,hommes,sexe,2012,46,08788853
Lorraine,hommes,sexe,2013,47,75764089
Lorraine,hommes,sexe,2014,49,54516464
Lorraine,hommes,sexe,2015,46,36008908
Midi-Pyrnes,hommes,sexe,2005,47,2
Midi-Pyrnes,hommes,sexe,2006,47,6
Midi-Pyrnes,hommes,sexe,2007,50,1
Midi-Pyrnes,hommes,sexe,2008,47,98567592
Midi-Pyrnes,hommes,sexe,2009,46,02903501
Midi-Pyrnes,hommes,sexe,2010,49,61742201
Midi-Pyrnes,hommes,sexe,2011,45,86709887
Midi-Pyrnes,hommes,sexe,2012,48,66264021
Midi-Pyrnes,hommes,sexe,2013,49,57398681
Midi-Pyrnes,hommes,sexe,2014,49,72725555
Midi-Pyrnes,hommes,sexe,2015,47,36832989
Nord-Pas-de-Calais,hommes,sexe,2005,44,8
Nord-Pas-de-Calais,hommes,sexe,2006,46,5
Nord-Pas-de-Calais,hommes,sexe,2007,42,7
Nord-Pas-de-Calais,hommes,sexe,2008,44,08967391
Nord-Pas-de-Calais,hommes,sexe,2009,43,86084584
Nord-Pas-de-Calais,hommes,sexe,2010,49,68944099
Nord-Pas-de-Calais,hommes,sexe,2011,47,61575674
Nord-Pas-de-Calais,hommes,sexe,2012,44,56902593
Nord-Pas-de-Calais,hommes,sexe,2013,45,07307215
Nord-Pas-de-Calais,hommes,sexe,2014,45,9508148
Nord-Pas-de-Calais,hommes,sexe,2015,44,78471741
Pays de la Loire,hommes,sexe,2005,48,8
Pays de la Loire,hommes,sexe,2006,50,5
Pays de la Loire,hommes,sexe,2007,48,5
Pays de la Loire,hommes,sexe,2008,46,78899083
Pays de la Loire,hommes,sexe,2009,44,65675867
Pays de la Loire,hommes,sexe,2010,48,09411765
Pays de la Loire,hommes,sexe,2011,44,62290503
Pays de la Loire,hommes,sexe,2012,40,76086957
Pays de la Loire,hommes,sexe,2013,44,38939696
Pays de la Loire,hommes,sexe,2014,47,10763224
Pays de la Loire,hommes,sexe,2015,48,36915275
Picardie,hommes,sexe,2005,43,9
Picardie,hommes,sexe,2006,47,1
Picardie,hommes,sexe,2007,45,1
Picardie,hommes,sexe,2008,42,3670669
Picardie,hommes,sexe,2009,46,9924812
Picardie,hommes,sexe,2010,48,35858586
Picardie,hommes,sexe,2011,43,35154827
Picardie,hommes,sexe,2012,49,32038835
Picardie,hommes,sexe,2013,46,9440014
Picardie,hommes,sexe,2014,46,43711194
Picardie,hommes,sexe,2015,46,27790642
Poitou-Charentes,hommes,sexe,2005,48,4
Poitou-Charentes,hommes,sexe,2006,49,5
Poitou-Charentes,hommes,sexe,2007,48
Poitou-Charentes,hommes,sexe,2008,46,79487179
Poitou-Charentes,hommes,sexe,2009,45,40983607
Poitou-Charentes,hommes,sexe,2010,50,11574074
Poitou-Charentes,hommes,sexe,2011,46,36785162
Poitou-Charentes,hommes,sexe,2012,45,37931034
Poitou-Charentes,hommes,sexe,2013,42,45218162
Poitou-Charentes,hommes,sexe,2014,48,31864983
Poitou-Charentes,hommes,sexe,2015,48,20515289
Provence-Alpes-Cte-d'Azur,hommes,sexe,2005,48,4
Provence-Alpes-Cte-d'Azur,hommes,sexe,2006,47,3
Provence-Alpes-Cte-d'Azur,hommes,sexe,2007,46
Provence-Alpes-Cte-d'Azur,hommes,sexe,2008,45,26476578
Provence-Alpes-Cte-d'Azur,hommes,sexe,2009,43,45922277
Provence-Alpes-Cte-d'Azur,hommes,sexe,2010,46,5184105
Provence-Alpes-Cte-d'Azur,hommes,sexe,2011,44,17525773
Provence-Alpes-Cte-d'Azur,hommes,sexe,2012,43,30835118
Provence-Alpes-Cte-d'Azur,hommes,sexe,2013,46,37674782
Provence-Alpes-Cte-d'Azur,hommes,sexe,2014,47,24916784
Provence-Alpes-Cte-d'Azur,hommes,sexe,2015,45,82834905
Rhne-Alpes,hommes,sexe,2005,48,3
Rhne-Alpes,hommes,sexe,2006,48,4
Rhne-Alpes,hommes,sexe,2007,47,7
Rhne-Alpes,hommes,sexe,2008,42,7961165
Rhne-Alpes,hommes,sexe,2009,43,78551136
Rhne-Alpes,hommes,sexe,2010,47,95162883
Rhne-Alpes,hommes,sexe,2011,43,24894515
Rhne-Alpes,hommes,sexe,2012,45,94202899
Rhne-Alpes,hommes,sexe,2013,45,25344153
Rhne-Alpes,hommes,sexe,2014,46,15244025
Rhne-Alpes,hommes,sexe,2015,50,253744
Alsace,femmes,sexe,2005,52,4
Alsace,femmes,sexe,2006,52,2
Alsace,femmes,sexe,2007,49,8
Alsace,femmes,sexe,2008,49,08376963
Alsace,femmes,sexe,2009,51,66002656
Alsace,femmes,sexe,2010,47,25848564
Alsace,femmes,sexe,2011,49,64370546
Alsace,femmes,sexe,2012,51,56054931
Alsace,femmes,sexe,2013,53,33155317
Alsace,femmes,sexe,2014,50,79474029
Alsace,femmes,sexe,2015,41,58635637
Aquitaine,femmes,sexe,2005,57,4
Aquitaine,femmes,sexe,2006,52,2
Aquitaine,femmes,sexe,2007,53,6
Aquitaine,femmes,sexe,2008,55,40647198
Aquitaine,femmes,sexe,2009,55,66583954
Aquitaine,femmes,sexe,2010,51,10526316
Aquitaine,femmes,sexe,2011,54,12710007
Aquitaine,femmes,sexe,2012,51,87914517
Aquitaine,femmes,sexe,2013,51,16051762
Aquitaine,femmes,sexe,2014,55,78997737
Aquitaine,femmes,sexe,2015,51,9828449
Auvergne,femmes,sexe,2005,53,7
Auvergne,femmes,sexe,2006,49,8
Auvergne,femmes,sexe,2007,51,1
Auvergne,femmes,sexe,2008,50,11086475
Auvergne,femmes,sexe,2009,50,53763441
Auvergne,femmes,sexe,2010,47,14714715
Auvergne,femmes,sexe,2011,51,98135198
Auvergne,femmes,sexe,2012,52,10084034
Auvergne,femmes,sexe,2013,52,65341326
Auvergne,femmes,sexe,2014,51,78234315
Auvergne,femmes,sexe,2015,57,60433374
Basse-Normandie,femmes,sexe,2005,51,6
Basse-Normandie,femmes,sexe,2006,50,3
Basse-Normandie,femmes,sexe,2007,52,6
Basse-Normandie,femmes,sexe,2008,61,89473684
Basse-Normandie,femmes,sexe,2009,59,5505618
Basse-Normandie,femmes,sexe,2010,57,38831615
Basse-Normandie,femmes,sexe,2011,56,61764706
Basse-Normandie,femmes,sexe,2012,53,10077519
Basse-Normandie,femmes,sexe,2013,51,38663428
Basse-Normandie,femmes,sexe,2014,56,58902695
Basse-Normandie,femmes,sexe,2015,55,87665803
Bourgogne,femmes,sexe,2005,50,7
Bourgogne,femmes,sexe,2006,52,2
Bourgogne,femmes,sexe,2007,51,8
Bourgogne,femmes,sexe,2008,60,1754386
Bourgogne,femmes,sexe,2009,56,72727273
Bourgogne,femmes,sexe,2010,51,91815857
Bourgogne,femmes,sexe,2011,54,25531915
Bourgogne,femmes,sexe,2012,52,70479134
Bourgogne,femmes,sexe,2013,53,87207377
Bourgogne,femmes,sexe,2014,55,02291783
Bourgogne,femmes,sexe,2015,55,9169737
Bretagne,femmes,sexe,2005,52,6
Bretagne,femmes,sexe,2006,53
Bretagne,femmes,sexe,2007,53,8
Bretagne,femmes,sexe,2008,56,25517813
Bretagne,femmes,sexe,2009,56,43642072
Bretagne,femmes,sexe,2010,53,39753879
Bretagne,femmes,sexe,2011,58,80062305
Bretagne,femmes,sexe,2012,58,06451613
Bretagne,femmes,sexe,2013,56,13096915
Bretagne,femmes,sexe,2014,51,47871505
Bretagne,femmes,sexe,2015,54,87929338
Centre,femmes,sexe,2005,52,7
Centre,femmes,sexe,2006,55,4
Centre,femmes,sexe,2007,57,4
Centre,femmes,sexe,2008,55,20082389
Centre,femmes,sexe,2009,54,8553719
Centre,femmes,sexe,2010,53,02066773
Centre,femmes,sexe,2011,55,15789474
Centre,femmes,sexe,2012,57,31822474
Centre,femmes,sexe,2013,57,17133552
Centre,femmes,sexe,2014,57,11264756
Centre,femmes,sexe,2015,59,37674569
Champagne-Ardenne,femmes,sexe,2005,54,4
Champagne-Ardenne,femmes,sexe,2006,53,4
Champagne-Ardenne,femmes,sexe,2007,54,4
Champagne-Ardenne,femmes,sexe,2008,54,5691906
Champagne-Ardenne,femmes,sexe,2009,61,38107417
Champagne-Ardenne,femmes,sexe,2010,55,09803922
Champagne-Ardenne,femmes,sexe,2011,58,88594164
Champagne-Ardenne,femmes,sexe,2012,53,86363636
Champagne-Ardenne,femmes,sexe,2013,58,08105074
Champagne-Ardenne,femmes,sexe,2014,56,20556332
Champagne-Ardenne,femmes,sexe,2015,56,67743619
Corse,femmes,sexe,2005,
Corse,femmes,sexe,2006,
Corse,femmes,sexe,2007,
Corse,femmes,sexe,2008,
Corse,femmes,sexe,2009,
Corse,femmes,sexe,2010,
Corse,femmes,sexe,2011,
Corse,femmes,sexe,2012,
Corse,femmes,sexe,2013,
Corse,femmes,sexe,2014,
Corse,femmes,sexe,2015,
Franche-Comt,femmes,sexe,2005,49,7
Franche-Comt,femmes,sexe,2006,49,1
Franche-Comt,femmes,sexe,2007,49,8
Franche-Comt,femmes,sexe,2008,53,00546448
Franche-Comt,femmes,sexe,2009,48,70466321
Franche-Comt,femmes,sexe,2010,47,48062016
Franche-Comt,femmes,sexe,2011,49,41860465
Franche-Comt,femmes,sexe,2012,49,00849858
Franche-Comt,femmes,sexe,2013,48,60256298
Franche-Comt,femmes,sexe,2014,43,8090085
Franche-Comt,femmes,sexe,2015,44,60109166
Haute-Normandie,femmes,sexe,2005,55,9
Haute-Normandie,femmes,sexe,2006,51,4
Haute-Normandie,femmes,sexe,2007,54,2
Haute-Normandie,femmes,sexe,2008,55,23156089
Haute-Normandie,femmes,sexe,2009,54,66666667
Haute-Normandie,femmes,sexe,2010,50,88607595
Haute-Normandie,femmes,sexe,2011,57,82312925
Haute-Normandie,femmes,sexe,2012,52,82714055
Haute-Normandie,femmes,sexe,2013,56,15095882
Haute-Normandie,femmes,sexe,2014,55,62218056
Haute-Normandie,femmes,sexe,2015,57,77601779
Ile-de-France,femmes,sexe,2005,54,2
Ile-de-France,femmes,sexe,2006,56
Ile-de-France,femmes,sexe,2007,54,7
Ile-de-France,femmes,sexe,2008,57,01571672
Ile-de-France,femmes,sexe,2009,51,72020528
Ile-de-France,femmes,sexe,2010,48,82739794
Ile-de-France,femmes,sexe,2011,53,16390926
Ile-de-France,femmes,sexe,2012,55,25498891
Ile-de-France,femmes,sexe,2013,52,13222997
Ile-de-France,femmes,sexe,2014,52,79330237
Ile-de-France,femmes,sexe,2015,53,69769403
Languedoc-Roussillon,femmes,sexe,2005,47,6
Languedoc-Roussillon,femmes,sexe,2006,51,3
Languedoc-Roussillon,femmes,sexe,2007,52,6
Languedoc-Roussillon,femmes,sexe,2008,56,14478114
Languedoc-Roussillon,femmes,sexe,2009,53,48162476
Languedoc-Roussillon,femmes,sexe,2010,53,96716826
Languedoc-Roussillon,femmes,sexe,2011,56,11374408
Languedoc-Roussillon,femmes,sexe,2012,57,34200743
Languedoc-Roussillon,femmes,sexe,2013,58,41070213
Languedoc-Roussillon,femmes,sexe,2014,58,01056386
Languedoc-Roussillon,femmes,sexe,2015,58,41871081
Limousin,femmes,sexe,2005,
Limousin,femmes,sexe,2006,
Limousin,femmes,sexe,2007,
Limousin,femmes,sexe,2008,
Limousin,femmes,sexe,2009,
Limousin,femmes,sexe,2010,56
Limousin,femmes,sexe,2011,
Limousin,femmes,sexe,2012,
Limousin,femmes,sexe,2013,
Limousin,femmes,sexe,2014,
Limousin,femmes,sexe,2015,
Lorraine,femmes,sexe,2005,50,8
Lorraine,femmes,sexe,2006,49,4
Lorraine,femmes,sexe,2007,52,6
Lorraine,femmes,sexe,2008,57,34966592
